Name,WHO Region,Cases - cumulative total,,Deaths - cumulative total,,
Global,,446511318,,6004421,,
United States of America,Americas,78545019,,951348,,
India,South-East Asia,42971308,,515210,,
Brazil,Americas,29049013,,652143,,
France,Europe,22383443,,136323,,
The United Kingdom,Europe,19245305,,162147,,
Russian Federation,Europe,17081394,,357601,,
Germany,Europe,16026216,,124450,,
Turkey,Europe,14387340,,95681,,
Italy,Europe,13048774,,156017,,
Spain,Europe,11136425,,100574,, 
Argentina,Americas,8942888,,126842,,
Iran (Islamic Republic of),Eastern Mediterranean,7096318,,138116,,
Netherlands,Europe,6771643,,21612,,
Colombia,Americas,6071704,,139091,,
Indonesia,South-East Asia,5800253,,150831,,
Poland,Europe,5760498,,112768,,
Mexico,Americas,5564985,,319859,,
Japan,Western Pacific,5434108,,25049,,
Ukraine,Europe,4879339,,106739,,
Republic of Korea,Western Pacific,4869691,,9282,,
Viet Nam,Western Pacific,4582058,,40891,,
South Africa,Africa,3685120,,99609,,
Israel,Europe,3682528,,10322,,
Philippines,Western Pacific,3668268,,57066,,
Malaysia,Western Pacific,3649463,,33305,,
Czechia,Europe,3642514,,38986,,
Belgium,Europe,3601627,,30296,,
